,Date,Close Price,Volume
0,2021-04-20,158.53,4658608
1,2021-04-19,164.37,10520214
2,2021-04-16,154.69,5214710
3,2021-04-15,156.44,7856780
4,2021-04-14,166.53,21138138
5,2021-04-13,140.99,6806868
6,2021-04-12,141.09,16683595
7,2021-04-09,158.36,9462380
8,2021-04-08,170.26,10047390
9,2021-04-07,177.97,4768261
10,2021-04-06,184.5,6218318
11,2021-04-05,186.95,14070489
12,2021-04-01,191.45,9334345
13,2021-03-31,189.82,8393834
14,2021-03-30,194.46,17094924
15,2021-03-29,181.3,10042175
16,2021-03-26,181.0,37430672
17,2021-03-25,183.75,49926442
18,2021-03-24,120.34,24177877
19,2021-03-23,181.75,14429145
20,2021-03-22,194.49,10061505
